subject,telephone,date,trialnumber,carrying location,speed,biometry cond,swingstate cond,measured distance,registered distance,measured stepcount,registered stepcount
1,iphone6b,20180523,1,trouser pocket,walking pace,NB,N,91.52,81.22,128,133
1,iphone6b,20180523,2,trouser pocket,walking pace,NB,N,91.52,72.9,123,122
1,iphone6b,20180523,4,jacket pocket,running pace,NB,N,91.52,101.23,105,106
1,iphone6b,20180523,5,jacket pocket,running pace,NB,N,91.52,84.47,94,94
1,iphone6b,20180523,7,low side jacket pocket,running pace,NB,N,247.12,258.85,280,280
1,iphone6b,20180523,8,low side jacket pocket,running pace,NB,N,247.12,266.84,272,262
1,iphone6b,20180523,10,hand,running pace,NB,N,247.12,276.81,278,278
1,iphone6b,20180523,11,hand,running pace,NB,N,247.12,268.56,279,273
1,iphone6b,20180523,13,backpack,walking pace,NB,N,91.52,68.76,127,129
1,iphone6b,20180523,14,backpack,walking pace,NB,N,91.52,70.56,124,124
1,iphone6b,20180523,15,backpack,walking pace,NB,N,247.12,187.46,328,328
1,iphone6b,20180523,16,backpack,walking pace,NB,N,247.12,176.25,335,326
1,iphone6b,20180523,17,backpack,running pace,NB,N,247.12,253.2,288,243
1,iphone6b,20180523,18,backpack,running pace,NB,N,247.12,270.72,285,275
1,iphone6b,20180523,20,low side jacket pocket,walking pace,NB,N,450.93,339.55,601,607
1,iphone6b,20180523,21,low side jacket pocket,walking pace,NB,N,450.93,336.12,617,618
1,iphone7,20180523,1,trouser pocket,walking pace,NB,N,91.52,86.8,128,144
1,iphone7,20180523,2,trouser pocket,walking pace,NB,N,91.52,76.71,123,122
1,iphone7,20180523,4,jacket pocket,running pace,NB,N,91.52,111.03,105,103
1,iphone7,20180523,5,jacket pocket,running pace,NB,N,91.52,111.54,94,94
1,iphone7,20180523,7,low side jacket pocket,running pace,NB,N,247.12,283.21,280,297
1,iphone7,20180523,8,low side jacket pocket,running pace,NB,N,247.12,275.85,272,272
1,iphone7,20180523,10,hand,running pace,NB,N,247.12,277.53,278,273
1,iphone7,20180523,11,hand,running pace,NB,N,247.12,274.86,279,275
1,iphone7,20180523,13,backpack,walking pace,NB,N,91.52,71.37,127,127
1,iphone7,20180523,14,backpack,walking pace,NB,N,91.52,71.05,124,123
1,iphone7,20180523,15,backpack,walking pace,NB,N,247.12,189.64,328,329
1,iphone7,20180523,16,backpack,walking pace,NB,N,247.12,192.87,335,334
1,iphone7,20180523,17,backpack,running pace,NB,N,247.12,321.71,288,279
1,iphone7,20180523,18,backpack,running pace,NB,N,247.12,288.02,285,269
1,iphone7,20180523,20,low side jacket pocket,walking pace,NB,N,450.93,394.91,601,600
1,iphone7,20180523,21,low side jacket pocket,walking pace,NB,N,450.93,365.9,617,617
2,iphone7,20180522,29,backpack,walking pace,NB,N,91.52,74.24,131,124
2,iphone7,20180522,30,backpack,walking pace,NB,N,91.52,66.28,126,123
2,iphone7,20180522,31,backpack,running pace,NB,N,91.52,94.46,91,100
2,iphone7,20180522,32,backpack,running pace,NB,N,91.52,84.94,87,90
2,iphone7,20180522,1,low side jacket pocket,walking pace,B,N,91.52,70.73,121,119
2,iphone7,20180522,2,low side jacket pocket,running pace,B,N,91.52,84.61,89,91
2,iphone7,20180522,3,low side jacket pocket,walking pace,B,N,247.12,184.62,321,319
2,iphone7,20180522,4,low side jacket pocket,walking pace,B,N,247.12,189.71,322,321
2,iphone7,20180522,5,low side jacket pocket,walking pace,B,N,91.52,70.61,117,114
2,iphone7,20180522,6,low side jacket pocket,running pace,B,N,91.52,84.32,86,86
2,iphone7,20180522,8,trouser pocket,walking pace,B,N,91.52,74.5,121,116
2,iphone7,20180522,9,trouser pocket,running pace,B,N,91.52,106.54,90,89
2,iphone7,20180522,10,trouser pocket,walking pace,B,N,247.12,199.68,320,317
2,iphone7,20180522,11,trouser pocket,walking pace,B,N,247.12,198.68,316,314
2,iphone7,20180522,12,trouser pocket,walking pace,B,N,91.52,68.38,118,110
2,iphone7,20180522,13,trouser pocket,running pace,B,N,91.52,103.94,86,87
2,iphone7,20180522,15,hand,walking pace,B,N,91.52,93.91,119,119
2,iphone7,20180522,16,hand,running pace,B,N,91.52,86.69,88,84
2,iphone7,20180522,17,hand,walking pace,B,N,247.12,241.87,312,311
2,iphone7,20180522,18,hand,walking pace,B,N,247.12,255.52,326,325
2,iphone7,20180522,19,hand,walking pace,B,N,91.52,92.97,120,118
2,iphone7,20180522,20,hand,running pace,B,N,91.52,85.44,91,85
2,iphone7,20180522,22,backpack,walking pace,B,N,91.52,99.66,120,130
2,iphone7,20180522,23,backpack,running pace,B,N,91.52,78.91,84,83
2,iphone7,20180522,24,backpack,walking pace,B,N,247.12,235.56,312,312
2,iphone7,20180522,25,backpack,walking pace,B,N,247.12,247.76,320,323
2,iphone7,20180522,26,backpack,walking pace,B,N,91.52,90.89,120,119
2,iphone7,20180522,27,backpack,running pace,B,N,91.52,87.62,86,93
2,iphone7,20180522,33,trouser pocket,walking pace,B,N,91.52,69.28,118,113
2,iphone7,20180522,34,trouser pocket,running pace,B,N,91.52,102.4,90,87
2,iphone6b,20180522,29,backpack,walking pace,NB,N,91.52,72.02,131,125
2,iphone6b,20180522,30,backpack,walking pace,NB,N,91.52,61.9,126,119
2,iphone6b,20180522,31,backpack,running pace,NB,N,91.52,76.83,91,89
2,iphone6b,20180522,32,backpack,running pace,NB,N,91.52,75.53,87,88
2,iphone6b,20180522,1,low side jacket pocket,walking pace,B,N,91.52,65.95,121,116
2,iphone6b,20180522,2,low side jacket pocket,running pace,B,N,91.52,78.01,89,89
2,iphone6b,20180522,3,low side jacket pocket,walking pace,B,N,247.12,182.87,321,321
2,iphone6b,20180522,4,low side jacket pocket,walking pace,B,N,247.12,183.39,322,320
2,iphone6b,20180522,5,low side jacket pocket,walking pace,B,N,91.52,63.99,117,117
2,iphone6b,20180522,6,low side jacket pocket,running pace,B,N,91.52,77.73,86,84
2,iphone6b,20180522,8,trouser pocket,walking pace,B,N,91.52,65.69,121,114
2,iphone6b,20180522,9,trouser pocket,running pace,B,N,91.52,96.45,90,87
2,iphone6b,20180522,10,trouser pocket,walking pace,B,N,247.12,206.48,320,317
2,iphone6b,20180522,11,trouser pocket,walking pace,B,N,247.12,193.88,316,313
2,iphone6b,20180522,12,trouser pocket,walking pace,B,N,91.52,70.13,118,116
2,iphone6b,20180522,13,trouser pocket,running pace,B,N,91.52,90.56,86,85
2,iphone6b,20180522,15,hand,walking pace,B,N,91.52,89.32,119,122
2,iphone6b,20180522,16,hand,running pace,B,N,91.52,71.48,88,87
2,iphone6b,20180522,17,hand,walking pace,B,N,247.12,229.89,312,310
2,iphone6b,20180522,18,hand,walking pace,B,N,247.12,245.62,326,323
2,iphone6b,20180522,19,hand,walking pace,B,N,91.52,87.15,120,118
2,iphone6b,20180522,20,hand,running pace,B,N,91.52,76.04,91,86
2,iphone6b,20180522,22,backpack,walking pace,B,N,91.52,89.33,120,117
2,iphone6b,20180522,23,backpack,running pace,B,N,91.52,76.17,84,85
2,iphone6b,20180522,24,backpack,walking pace,B,N,247.12,219.17,312,311
2,iphone6b,20180522,25,backpack,walking pace,B,N,247.12,215.93,320,317
2,iphone6b,20180522,26,backpack,walking pace,B,N,91.52,76.84,120,119
2,iphone6b,20180522,27,backpack,running pace,B,N,91.52,75.77,86,83
2,iphone6b,20180522,33,trouser pocket,walking pace,B,N,91.52,66.84,118,117
2,iphone6b,20180522,24,trouser pocket,running pace,B,N,91.52,105.82,90,89
2,iphone7,20180518,1,jacket pocket,walking pace,NB,N,450.93,447.35,564,563
2,iphone7,20180518,2,jacket pocket,walking pace,NB,N,450.93,426.99,555,556
2,iphone7,20180518,3,jacket pocket,walking pace,NB,N,247.12,241.01,300,302
2,iphone7,20180518,4,jacket pocket,walking pace,NB,N,247.12,245.73,308,304
2,iphone7,20180518,5,jacket pocket,walking pace,NB,N,91.52,91.48,112,114
2,iphone7,20180518,6,jacket pocket,walking pace,NB,N,91.52,87.79,114,112
2,iphone7,20180518,7,jacket pocket,running pace,NB,N,450.93,375.01,432,426
2,iphone7,20180518,8,jacket pocket,running pace,NB,N,450.93,382.11,434,432
2,iphone7,20180518,9,jacket pocket,running pace,NB,N,247.12,222.12,253,253
2,iphone7,20180518,10,jacket pocket,running pace,NB,N,247.12,217.15,253,248
2,iphone7,20180518,11,jacket pocket,running pace,NB,N,91.52,75.81,91,86
2,iphone7,20180518,12,jacket pocket,running pace,NB,N,91.52,72.81,85,81
2,iphone7,20180518,14,backpack,walking pace,NB,N,450.93,359.02,546,543
2,iphone7,20180518,15,backpack,walking pace,NB,N,450.93,353.62,544,553
2,iphone7,20180518,16,backpack,walking pace,NB,N,247.12,209.29,307,312
2,iphone7,20180518,17,backpack,walking pace,NB,N,247.12,226.92,301,311
2,iphone7,20180518,18,backpack,walking pace,NB,N,91.52,78.8,114,113
2,iphone7,20180518,19,backpack,walking pace,NB,N,91.52,75.27,116,120
2,iphone7,20180518,20,backpack,running pace,NB,N,450.93,402.55,423,421
2,iphone7,20180518,21,backpack,running pace,NB,N,450.93,417.66,434,441
2,iphone7,20180518,22,backpack,running pace,NB,N,247.12,227.88,250,242
2,iphone7,20180518,23,backpack,running pace,NB,N,247.12,234.28,250,251
2,iphone7,20180518,24,backpack,running pace,NB,N,91.52,88.08,84,91
2,iphone7,20180518,25,backpack,running pace,NB,N,91.52,70.21,81,75
2,iphone6b,20180518,1,jacket pocket,walking pace,NB,N,450.93,427.09,564,564
2,iphone6b,20180518,2,jacket pocket,walking pace,NB,N,450.93,403.65,555,553
2,iphone6b,20180518,3,jacket pocket,walking pace,NB,N,247.12,228.68,300,302
2,iphone6b,20180518,4,jacket pocket,walking pace,NB,N,247.12,204.35,308,300
2,iphone6b,20180518,5,jacket pocket,walking pace,NB,N,91.52,76.73,112,113
2,iphone6b,20180518,6,jacket pocket,walking pace,NB,N,91.52,68.9,114,114
2,iphone6b,20180518,7,jacket pocket,running pace,NB,N,450.93,421.11,432,428
2,iphone6b,20180518,8,jacket pocket,running pace,NB,N,450.93,398.09,434,434
2,iphone6b,20180518,9,jacket pocket,running pace,NB,N,247.12,234.12,253,251
2,iphone6b,20180518,10,jacket pocket,running pace,NB,N,247.12,217.04,253,247
2,iphone6b,20180518,11,jacket pocket,running pace,NB,N,91.52,65.73,91,90
2,iphone6b,20180518,12,jacket pocket,running pace,NB,N,91.52,66.6,85,87
2,iphone6b,20180518,14,backpack,walking pace,NB,N,450.93,309.41,546,543
2,iphone6b,20180518,15,backpack,walking pace,NB,N,450.93,335.0,544,538
2,iphone6b,20180518,16,backpack,walking pace,NB,N,247.12,190.45,307,307
2,iphone6b,20180518,17,backpack,walking pace,NB,N,247.12,201.49,301,296
2,iphone6b,20180518,18,backpack,walking pace,NB,N,91.52,67.19,114,112
2,iphone6b,20180518,19,backpack,walking pace,NB,N,91.52,58.65,116,116
2,iphone6b,20180518,20,backpack,running pace,NB,N,450.93,391.25,423,418
2,iphone6b,20180518,21,backpack,running pace,NB,N,450.93,389.34,434,430
2,iphone6b,20180518,23,backpack,running pace,NB,N,247.12,219.47,250,242
2,iphone6b,20180518,24,backpack,running pace,NB,N,247.12,217.74,250,245
2,iphone6b,20180518,25,backpack,running pace,NB,N,91.52,73.22,84,80
2,iphone6b,20180518,26,backpack,running pace,NB,N,91.52,67.04,81,80
2,iphone6b,20180515,1,low side jacket pocket,walking pace,NB,N,91.52,87.53,116,111
2,iphone6b,20180515,2,low side jacket pocket,walking pace,NB,N,91.52,65.08,117,113
2,iphone6b,20180515,3,low side jacket pocket,running pace,NB,N,91.52,82.54,87,88
2,iphone6b,20180515,4,low side jacket pocket,running pace,NB,N,91.52,68.93,85,84
2,iphone6b,20180515,5,low side jacket pocket,running pace,NB,N,247.12,239.22,236,235
2,iphone6b,20180515,6,low side jacket pocket,running pace,NB,N,247.12,223.31,249,232
2,iphone6b,20180515,7,low side jacket pocket,running pace,NB,N,450.93,427.36,442,441
2,iphone6b,20180515,8,low side jacket pocket,running pace,NB,N,450.93,416.87,461,454
2,iphone6b,20180515,10,hand,walking pace,NB,N,450.93,392.82,548,538
2,iphone6b,20180515,11,hand,walking pace,NB,N,450.93,402.18,551,550
2,iphone6b,20180515,12,hand,walking pace,NB,N,247.12,219.9,306,297
2,iphone6b,20180515,13,hand,walking pace,NB,N,247.12,228.4,305,307
2,iphone6b,20180515,14,hand,walking pace,NB,N,91.52,80.93,114,114
2,iphone6b,20180515,15,hand,walking pace,NB,N,91.52,79.15,116,117
2,iphone6b,20180515,16,hand,running pace,NB,N,450.93,413.85,450,445
2,iphone6b,20180515,17,hand,running pace,NB,N,450.93,428.74,458,454
2,iphone6b,20180515,18,hand,running pace,NB,N,247.12,224.75,247,248
2,iphone6b,20180515,19,hand,running pace,NB,N,247.12,233.26,253,254
2,iphone6b,20180515,20,hand,running pace,NB,N,91.52,84.55,90,90
2,iphone6b,20180515,21,hand,running pace,NB,N,91.52,85.31,89,86
2,iphone6b,20180515,22,hand,walking pace,NB,S,91.52,72.58,122,120
2,iphone6b,20180515,23,hand,walking pace,NB,Z,91.52,186.9,120,148
2,iphone6b,20180515,24,hand,running pace,NB,S,91.52,67.16,89,82
2,iphone6b,20180515,25,hand,running pace,NB,Z,91.52,127.49,79,81
2,iphone6b,20180515,26,hand,walking pace,NB,S,247.12,237.13,316,316
2,iphone6b,20180515,27,hand,walking pace,NB,Z,247.12,500.88,349,373
2,iphone6b,20180515,28,hand,running pace,NB,S,247.12,153.74,238,195
2,iphone6b,20180515,29,hand,running pace,NB,Z,247.12,374.89,230,225
2,iphone7,20180515,1,low side jacket pocket,walking pace,NB,N,91.52,70.21,116,113
2,iphone7,20180515,2,low side jacket pocket,walking pace,NB,N,91.52,70.55,117,115
2,iphone7,20180515,3,low side jacket pocket,running pace,NB,N,91.52,81.66,87,86
2,iphone7,20180515,4,low side jacket pocket,running pace,NB,N,91.52,82.67,85,86
2,iphone7,20180515,5,low side jacket pocket,running pace,NB,N,247.12,222.93,236,233
2,iphone7,20180515,6,low side jacket pocket,running pace,NB,N,247.12,232.07,249,246
2,iphone7,20180515,7,low side jacket pocket,running pace,NB,N,450.93,412.85,442,439
2,iphone7,20180515,8,low side jacket pocket,running pace,NB,N,450.93,428.34,461,450
2,iphone7,20180515,10,hand,walking pace,NB,N,450.93,400.67,548,534
2,iphone7,20180515,11,hand,walking pace,NB,N,450.93,410.83,551,549
2,iphone7,20180515,12,hand,walking pace,NB,N,247.12,222.35,306,299
2,iphone7,20180515,13,hand,walking pace,NB,N,247.12,229.46,305,308
2,iphone7,20180515,14,hand,walking pace,NB,N,91.52,84.9,114,115
2,iphone7,20180515,15,hand,walking pace,NB,N,91.52,84.22,116,114
2,iphone7,20180515,16,hand,running pace,NB,N,450.93,425.63,450,445
2,iphone7,20180515,17,hand,running pace,NB,N,450.93,442.37,458,454
2,iphone7,20180515,18,hand,running pace,NB,N,247.12,237.64,247,247
2,iphone7,20180515,19,hand,running pace,NB,N,247.12,242.0,253,254
2,iphone7,20180515,20,hand,running pace,NB,N,91.52,84.26,90,90
2,iphone7,20180515,21,hand,running pace,NB,N,91.52,83.92,89,86
2,iphone7,20180515,22,hand,walking pace,NB,S,91.52,85.29,122,120
2,iphone7,20180515,23,hand,walking pace,NB,Z,91.52,201.13,120,144
2,iphone7,20180515,24,hand,running pace,NB,S,91.52,78.13,89,90
2,iphone7,20180515,25,hand,running pace,NB,Z,91.52,134.31,79,82
2,iphone7,20180515,26,hand,walking pace,NB,S,247.12,239.73,316,315
2,iphone7,20180515,27,hand,walking pace,NB,Z,247.12,458.9,349,343
2,iphone7,20180515,28,hand,running pace,NB,S,247.12,192.2,238,211
2,iphone7,20180515,29,hand,running pace,NB,Z,247.12,385.13,230,222
1,iphone7,20180515,22,backpack,walking pace,B,N,91.52,92.3,124,123
1,iphone7,20180515,23,backpack,running pace,B,N,91.52,94.24,95,89
1,iphone7,20180515,24,backpack,walking pace,B,N,247.12,227.54,337,346
1,iphone7,20180515,25,backpack,walking pace,B,N,247.12,241.5,342,344
1,iphone7,20180515,26,backpack,walking pace,B,N,91.52,91.52,130,129
1,iphone7,20180515,27,backpack,running pace,B,N,91.52,84.66,90,85
1,iphone7,20180515,30,trouser pocket,walking pace,B,N,91.52,78.86,127,126
1,iphone7,20180515,32,hand,walking pace,B,N,91.52,102.01,127,132
1,iphone7,20180515,33,hand,running pace,B,N,91.52,96.46,90,92
1,iphone6b,20180515,22,backpack,walking pace,B,N,91.52,85.27,124,123
1,iphone6b,20180515,23,backpack,running pace,B,N,91.52,84.43,95,89
1,iphone6b,20180515,24,backpack,walking pace,B,N,247.12,217.19,337,341
1,iphone6b,20180515,25,backpack,walking pace,B,N,247.12,226.17,342,346
1,iphone6b,20180515,26,backpack,walking pace,B,N,91.52,85.25,130,129
1,iphone6b,20180515,27,backpack,running pace,B,N,91.52,72.74,90,81
1,iphone6b,20180515,30,trouser pocket,walking pace,B,N,91.52,73.78,127,126
1,iphone6b,20180515,31,trouser pocket,running pace,B,N,91.52,84.92,91,94
1,iphone6b,20180515,32,hand,walking pace,B,N,91.52,97.94,127,128
1,iphone6b,20180515,33,hand,running pace,B,N,91.52,77.01,90,90
1,iphone8,20180515,22,backpack,walking pace,B,N,91.52,83.2,124,125
1,iphone8,20180515,23,backpack,running pace,B,N,91.52,87.22,95,87
1,iphone8,20180515,24,backpack,walking pace,B,N,247.12,235.93,337,325
1,iphone8,20180515,25,backpack,walking pace,B,N,247.12,266.66,342,377
1,iphone8,20180515,26,backpack,walking pace,B,N,91.52,93.71,130,133
1,iphone8,20180515,27,backpack,running pace,B,N,91.52,82.2,90,86
1,iphone8,20180515,30,trouser pocket,walking pace,B,N,91.52,79.73,127,132
1,iphone8,20180515,31,trouser pocket,running pace,B,N,91.52,100.86,91,89
1,iphone8,20180515,32,hand,walking pace,B,N,91.52,101.61,127,134
1,iphone8,20180515,33,hand,running pace,B,N,91.52,95.05,90,91
1,iphone6b,20180507,8,hand,walking pace,B,N,91.52,96.75,134,132
1,iphone6b,20180507,9,hand,running pace,B,N,91.52,91.91,92,94
1,iphone6b,20180507,10,hand,walking pace,B,N,247.12,244.6,342,340
1,iphone6b,20180507,11,hand,walking pace,B,N,247.12,249.86,334,334
1,iphone6b,20180507,12,hand,walking pace,B,N,91.52,93.29,128,128
1,iphone6b,20180507,13,hand,running pace,B,N,91.52,98.81,95,101
1,iphone6b,20180507,10,hand,walking pace,B,N,247.12,253.43,331,333
1,iphone6b,20180507,11,hand,walking pace,B,N,247.12,249.07,327,326
1,iphone6b,20180508,15,trouser pocket,walking pace,B,N,91.52,73.45,135,129
1,iphone6b,20180508,16,trouser pocket,running pace,B,N,91.52,94.79,100,99
1,iphone6b,20180508,17,trouser pocket,walking pace,B,N,247.12,187.4,331,332
1,iphone6b,20180508,18,trouser pocket,walking pace,B,N,247.12,197.29,324,319
1,iphone6b,20180508,19,trouser pocket,walking pace,B,N,91.52,66.13,127,126
1,iphone6b,20180508,20,trouser pocket,running pace,B,N,91.52,103.32,90,87
1,iphone6b,20180509,1,jacket pocket,walking pace,B,N,91.52,91.11,123,123
1,iphone6b,20180509,2,jacket pocket,running pace,B,N,91.52,83.67,97,97
1,iphone6b,20180509,3,jacket pocket,walking pace,B,N,247.12,230.13,332,338
1,iphone6b,20180509,4,jacket pocket,walking pace,B,N,247.12,229.35,341,330
1,iphone6b,20180509,5,jacket pocket,walking pace,B,N,91.52,88.0,126,125
1,iphone6b,20180509,6,jacket pocket,running pace,B,N,91.52,91.1,93,94
1,iphone7,20180507,8,hand,walking pace,B,N,91.52,102.04,134,139
1,iphone7,20180507,9,hand,running pace,B,N,91.52,105.17,92,94
1,iphone7,20180507,10,hand,walking pace,B,N,247.12,271.8,342,357
1,iphone7,20180507,11,hand,walking pace,B,N,247.12,251.2,334,333
1,iphone7,20180507,12,hand,walking pace,B,N,91.52,101.9,128,137
1,iphone7,20180507,13,hand,running pace,B,N,91.52,107.85,95,101
1,iphone7,20180507,10,hand,walking pace,B,N,247.12,266.1,331,338
